Destination,Country code,World,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Southern Asia,5501,15001688,171802,562515,4634188,0,33,0,0,0,0,21264,0,2469,0,1197,32,11960,0,29603,3464918,0,0,0,0,0,0,86593,0,0,0,14643,0,25861,0,0,0,19279,0,1803,0,0,0,0,0,0,0,207383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,44,0,0,0,0,0,0,0,175,0,1688,0,0,0,0,0,2635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617187,155780,1797,82510,0,0,0,372,0,14575,0,2246,2425,0,6193,0,86526,0,14,0,0,0,0,0,0,0,0,242189,203,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,342299,0,0,592156,21,0,51,0,0,659,0,0,14054,0,1218740,0,0,0,0,0,1301,0,159,0,0,37,0,0,0,1387,0,0,0,0,0,0,0,0,0,4560,0,0,0,0,13879,0,0,0,0,499,0,0,0,167189,2,0,0,0,280,182,0,24658,10545,0,0,0,0,0,0,0,2546,4881,0,0,727,0,12209,38395,0,48292,0,0,1232,0,0,27587,0,0,0,692,0
Afghanistan,4,105090,7470,22411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24658,,,,,,,,,,,,,,,,,,,,,1232,,,,,,,,
Bangladesh,50,1396514,70389,174039,,,,,,,,21264,,,,,,,,29603,,,,,,,,,,,,14643,,,,,,19279,,,,,,,,,,174487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33795,154945,,,,,,,,13509,,,,,,,86526,,,,,,,,,,,229245,,,,,,,,,,,,,,,,,197625,,,38337,,,,,,,,,14047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9406,,,,,,,,,,,,,,,,,,10353,,,,,,,,,,,,,,,32852,,45158,,,,,,27012,,,,,
Bhutan,64,50862,81,42,,,,,,,,,,,,28,13,,,,56,,,,,,,,,,,,,,,,,,,41,,,,,,,,973,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,32,,,,,,28,,,,,,,,,,,,,,,,,48076,,,,,,,13,,137,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,37,,,769,21,,25,,,,,,,,24,,,,,,21,,,,,37,,,,,,,,,,,,,,,,,,,19,,,,,,,,,37,,,,,24,25,,,66,,,,,,,,,,,,,,,38,,146,,,,,,,,,,,
India,356,5338486,17345,86727,8237,,,,,,,,,,,677,,,,,3230025,,,,,,,6770,,,,,,25861,,,,,,1673,,,,,,,,7240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,1163,,,,,,2187,,,,,,,,,,,,,,,,,,835,1737,507,,,,,,730,,2246,2425,,6193,,,,,,,,,,,,,12672,203,,,,,,302,,,,,,,,,,51529,,,553050,,,,,,659,,,,,1126796,,,,,,,,159,,,,,,,1373,,,,,,,,,,4560,,,,,4308,,,,,,,,,158083,,,,,,,,,,,,,,,,,108,,,,727,,12209,4956,,2772,,,,,,575,,,,692,
Iran (Islamic Republic of),364,2649516,43575,174303,2299676,,,,,,,,,2469,,,,11960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438,4881,,,,,,,,,,,,,,,,,,,
Maldives,462,84230,131,4708,,,,,,,,,,,,92,19,,,,47951,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,103,,,,,,251,,,,,,,,,,,,,,,,,19801,,,,,,,332,,124,,,,,,,,,14,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,149,,,,,,1280,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,8451,,,,,25,105,,,126,,,,,,,,,,,,,,,171,,71,,,,,,,,,,,
Nepal,524,971247,8488,33098,,,,,,,,,,,,,,,,,772,,,,,,,79823,,,,,,,,,,,,,,,,,,,,24394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,586,4080766,19699,59094,2326275,,33,,,,,,,,,,,,,,186114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395854,,60,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,144,324977,4624,8093,0,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,390,,,,,,169,,,,,,,,,,,,,,,,,309489,,,0,,,,27,,75,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,7,,278,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,66,,,,,0,,,,,2,,,,231,52,0,,,,,,,,,,,,,,,,,378,,145,,,,,,,,,,,
Western Asia,922,33144331,762658,1106006,47282,5242,47779,0,12,12,0,0,40350,8540,5,11400,26897,264200,11,15021,3162375,4,49701,19427,2,18,11,3,30,3641,31,9760,112,41,736366,2,9,11,91,12444,0,0,2,27,18499,2,3575,16424,121,2,3053,14,5,0,88,3,451,113,13,15503,2333,20942,840,7178,12,12,33,11,2892882,23,17,67909,1645,133864,0,0,7,3565,84811,0,1,8,22,79386,438205,335,10,120448,0,2,72,2,29,16,1,8,7,0,15,14727,105,6859500,924786,98463,1407420,1757,0,69493,10362,51,3154,465141,54672,361,0,232382,10368,16,6531,114231,13,24,23554,1,11065,85,13,21,693,17,19,111,1,0,240,25,0,2960,0,8,429,54865,0,201777,25,73,11,1,30298,44118,2,595,17,24,25440,0,8,5536,10243,2922284,0,48,4,23,2604,1804216,74322,417,19,11920,1454,22353,8,144004,458100,24,0,0,8,0,0,24,1,0,47549,122,112734,13,20,340,0,647,240,2,267555,18263,63334,4162,352670,3127747,511581,30,3,9751,19894,350171,7854,39329,46767,10,5,0,0,25,46231,214556,8634,0,2,54,217364,70466,183544,503,174886,8,6559,58555,4,542,328,23,0,810841,331,377
Armenia,51,317001,1533,1912,,,,,,,,,,,,,,221147,,,,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16335,,,,,,,,,,,,,,,,,,,,,,37277,611,,,1653,,,,,,,,,,,,,,,,8929,,,,,,,,,727,,,,,,,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2983,,,,,,,,,,1809,759,,,,2397,,,,,,,1064,,,,,,,,
Azerbaijan,31,323843,3465,10756,,,,,,,,,,3729,,,,,,,,,15582,,,,,,,,,,,,138,,,,,,,,,,,,,427,,,,,,,,,,,,,,2785,,,,,,,,,,,900,,,,,184,,,,,,5122,2853,,,,,,,,,,,,,,,137,,,,,,,,,,,,,20272,,,,3240,,1415,,,,,,4151,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,5033,,,,381,4167,,756,175048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3456,,,,,,,,,1648,1569,,,,41933,,,,,,,14386,,,171,,,,,
Bahrain,48,729357,6822,28955,680,,,,,,,,,,,,,,,,100444,,,,,,,,,,,,,,,,,,,,,,,,445,,,,,,,,,,,,,,,,,,,,,,,,65607,,,1605,,1129,,,,,919,,,,,,,,,,,,,,,,,,,,,,,262855,29553,,,,,,,,,13040,,,,5603,,,,2298,,,,,,,,,,,,,,,,,,,,,,,,811,,,,,722,303,,,,,592,,,,,87892,,,,,,43971,,,,88,,,,,,,,,,,,,,,668,,,,,,,,,,1075,,1759,,9804,4838,14281,,,,,5614,,930,,,,,,,490,4079,,,,,,8371,3119,,1431,,,,,,,,,18564,,
Cyprus,196,207313,1325,440,11,327,42,0,,,,,98,1383,,3508,417,42,0,126,766,,399,308,0,11,,,13,81,11,70,,5,7247,,5,0,67,1771,,,,17,,,56,1884,,,148,,,,5,,98,42,,,794,39,805,199,5,0,13,11,6105,13,,5,34,95,,,5,582,1079,0,,,,17994,3058,98,5,27912,,,,,0,0,,,5,,5,406,39,3236,204,1417,370,914,,450,567,17,98,520,280,98,,274,28,5,194,3242,,,269,,109,13,11,11,52,,,39,,0,,13,,75,,,,,,75,13,52,5,,67,567,,109,13,11,360,,,235,75,612,,23,,11,39,8484,833,75,5,13,11,1107,,6367,15309,0,,,,,0,,,,274,11,2982,11,5,39,,160,17,,13,5847,335,184,11627,427,277,5,,1074,445,3835,11,308,23,,,,,17,42,720,13,,,23,3857,179,42854,171,3743,,5,86,,75,75,,,17,160,360
Georgia,268,189893,2070,2051,,,,,,,,,,2227,,,,4377,,,,,9306,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,1663,,,,,,,,,,,537,,,,,,,,,,,,1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,12107,,,,1934,,846,,,,,,2478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3007,,,,219,2490,,451,104549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064,,,,,,,,,983,937,,,,25044,,,,,,,8593,,,,,,,,
Iraq,368,95780,515,20271,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11544,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,15611,,,,,,,,8308,,,,323,,,,1223,,,,,,,,,,,,,,,161,,,,,,,,,470,,,,,,,,,,,,,,,,547,,,,,,,,,,,,,,,218,,,,,,,,,,540,,,,,,,,,,212,,375,,,14954,3048,,,,,4981,,,,,,,,,251,9776,,,,,,230,,,,,,,,,,,,1608,,
Israel,376,2046873,591450,24829,2584,,46477,,,,,,40031,,,3324,5152,13764,,,,,23524,6098,,,,,,,,9089,,,16924,,,,,8275,,,,,,,3445,611,,,2811,,,,,,,,,,,,,1950,,,,,21469,,,,,81880,,,,314,42578,,,,,9479,24068,,,3139,,,,,,,,,,,,12713,,19297,,53236,68976,,,,5316,,,,13870,,,,2563,,4000,6341,,,17574,,3937,,,,,,,,,,,,,2647,,,,,,165963,,,,,,5200,,,,,,,,,,,,,,,2484,,60321,,,,,11102,,105488,116632,,,,,,,,,,,,,,,,,,,,,11926,,1924,,,,,,700,3920,9649,1919,,,,,,,,23954,28449,2341,,,,137472,,22250,,80463,,6488,22705,,380,,,,31408,,
Jordan,400,2925780,,,55,9,300,,,,,,12,23,,218,101,11,,370,10122,,2,63,,2,,2,4,53,,92,,22,44,2,,,,284,,,,,23,,8,8069,34,2,22,12,5,,1,2,22,8,,115,21,73,6,44,7,1,3,,276950,2,,65,6,66,,,,9,344,,,3,1,2,624,24,,54,,2,,2,4,5,1,,2,,5,511,3,5147,9073,83,401130,46,,1368,269,1,90,,18,5,,655,8,9,1,1601,,3,848,1,4,3,1,5,247,,14,7,,,59,1,,9,,,6,15,,521,2,21,2,,158,174,,56,2,9,23,,,38,554,2835,,4,2,,2,3347,71,9,1,195,83,32,,236,520,,,,,,,,1,,4385,11,51,1,2,6,,20,6,,66,51,241,266,10873,2114224,1957,,3,78,174,57847,9,90,76,2,1,,,,226,893,2,,,3,345,182,704,1,2280,,,9,,27,12,,,2074,2,1
Kuwait,414,2028053,18962,96048,1889,,,,,,,,,,,,,,,919,279169,,,,,,,,,,,,,,,,,,,,,,,,1232,,,,,,,,,,,,,,,,,,,,,,,,182342,,,4458,,3139,,,,,2551,,,,,,,,,,,,,,,,,,,,,,,730558,82139,,,,,,,,,36242,,,,,,,,6390,,,,,,,,,,,,,,,,,,,,,,,,2257,,,,,2006,843,,,,,1643,,,,,244281,,,,,,122214,,,,243,,,,,,,,,,,,,,,1856,,,,,,,,,,2990,,4888,,27251,13448,39693,,,,,15605,,2582,,,,,,,1361,11339,,,,,,23268,8672,,3977,,,,,,,,,51598,,
Lebanon,422,849721,489,1497,,,,,,,,,,,,,,,,137,3747,,,,,,,,,,,,,,,,,,,,,,,,,,,2987,,,,,,,,,,,,,,,,,,,,,102507,,,,,,,,,,127,,,,,,231,,,,,,,,,,,,,,,189,,1905,3358,,148470,,,506,,,,593,,,,242,,,,,,,314,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,205,1049,,,,,,1239,,,,,,,,,193,,,,,,,,,,1623,,,,,,,,,,,,89,,4025,549341,725,,,,,21411,,,,,,,,,,330,,,,,127,,261,,844,,,,,,,,,767,,
State of Palestine,275,256517,2015,20874,,,,,,,,,,,,,,,,8589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63142,,,,55929,,,,17179,,,,3324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9371,,,,,,,,,,,10151,,,,,,,,,,,,,,,21864,,,,,,,,,,,,,,,,,,,,,4691,,,,,,,,,602,,,,,,,10931,,,7858,,,,,,,,,1473,,
Oman,512,1112032,11390,33722,,,,,,,,,,,,,,,,538,148314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41365,,,,,,,,,,1583,,,,,,,,,,,,,,,,,,,,,,,644704,35027,,5759,,,,,,,10249,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,,,,,,,,,,117208,,,,,,21669,,,,233,,,,,,,,,,,,,,,1004,,,,,,,,,,,,1042,,14091,,8466,,,,,,,,,,,,,,,,,,,,,8897,5613,,,,,,,,,,,,,
Qatar,634,1600955,14971,63535,1491,,,,,,,,,,,,,,,725,220403,,,,,,,,,,,,,,,,,,,,,,,,973,,,,,,,,,,,,,,,,,,,,,,,,143960,,,3519,,2478,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,576776,64849,,,,,,,,,28613,,,,12296,,,,5045,,,,,,,,,,,,,,,,,,,,,,,,1782,,,,,1583,666,,,,,1297,,,,,192860,,,,,,96487,,,,,,,,,,,,,,,,,,,1466,,,,,,,,,,2359,,3859,,21516,10617,31337,,,,,12320,,2039,,,,,,,1074,8952,,,,,,18370,6846,,3140,,,,,,,,,40737,,
Saudi Arabia,682,9060433,13342,79877,16883,,,,,,,,,,,,,,,,1309004,,,,,,,,,,,,,,,,,,,,,,,,11007,,,,,,,,,,,,,,,,,,,,,,,,1298388,,,39834,,28048,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761857,379632,,,,,,,,,168827,,,,134184,,,,57098,,,,,,,,,,,,,,,,,,,,,,,,20174,,,,,17918,,,,,,14678,,,,,1319607,,,,,,1028802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26708,,28883,,147032,120161,234564,,,,,139437,,23077,,,,,,,12163,101310,,,,,,,31361,,35535,,,,,,,,,461042,,
Syrian Arab Republic,760,1394227,17169,370543,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2538,,62,,,242399,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,792,1864889,627,2003,14270,4906,960,,12,12,,,209,1178,5,4350,21227,24859,11,33,489,4,295,12958,2,5,11,1,13,3507,20,509,112,14,712013,,4,11,24,2114,,,2,10,8,2,66,2190,87,,72,2,,,82,1,331,63,13,15388,1518,47,29,4985,,11,17,,1141,8,17,,168,87,,,2,2476,23658,,1,5,21,9512,405056,213,5,87690,,,72,,25,11,,8,,,5,771,63,772,267,19187,13163,797,,4027,4210,33,2966,1330,7398,258,,423,2595,2,75,1676,13,21,4549,,386,69,1,5,394,17,5,65,1,,20,11,,229,,8,284,54850,,716,10,,4,1,16,32316,2,430,2,4,433,,8,5263,38,1685,,21,2,12,79,864,5057,333,13,49,760,3455,8,30706,29404,24,,,8,,,24,,,6622,100,109701,1,13,295,,467,217,2,37,439,69,1788,57,1095,247,25,,7899,15355,7939,395,218,46668,8,4,,,8,753,,3013,,2,28,6189,38,28008,331,20089,8,66,11712,4,60,48,23,,102,169,16
United Arab Emirates,784,7826981,74030,314185,7377,,,,,,,,,,,,,,,3584,1089917,,,,,,,,,,,,,,,,,,,,,,,,4811,,,,,,,,,,,,,,,,,,,,,,,,711894,,,17404,,12256,,,,,9958,,,,,,,,,,,,,,,,,,,,,,,2852207,320684,,,,,,,,,141490,,,,60802,,,,24948,,,,,,,,,,,,,,,,,,,,,,,,8815,,,,,7828,3292,,,,,6414,,,,,953708,,,,,,477139,,,,948,,,,,,,,,,,,,,,7247,,,,,,,,,,11669,,19082,,106394,52503,154968,,,,,60926,,10085,,,,,,,5315,44268,,,,,,,33856,,15526,,,,,,,,,201451,,
Yemen,887,314683,2483,34508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11086,,,842,,4686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219888,,2650,,,3740,21518,,,,,2933,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,
EUROPE,908,72449908,831601,626544,273743,1143235,1561849,52,7322,210526,134,321,412908,637412,3637,204392,373760,884278,6788,7160,382762,20650,1300150,416209,226,26153,318,1565,215536,1314175,1139,622420,116,6027,535950,23622,12609,70305,141065,234529,111176,7294,127,17217,8643,24262,152694,939630,92258,2145,515876,36232,104302,7,9223,125940,588483,178581,65582,86195,368964,18439,143248,163074,7124,13291,90182,569733,243709,26044,24890,76813,154756,117108,13282,9,6596,252836,1189753,8,64,21212,44215,609027,2242846,203440,13531,397190,16412,8618,44,6,16923,59577,40113,28876,78236,182,41273,344476,28256,1154953,185300,405648,435506,496244,76,86170,1652643,150659,131738,35771,3571109,176073,45,22026,666214,45416,276467,202720,505,11567,72745,3651,474113,51497,123915,17967,78615,269,94715,34473,30,10,29013,108852,18,106406,12,51083,35629,202389,5196,2512568,84698,20850,1658,34,63957,542622,25,72610,23294,8542,352704,0,78,129172,6346,788657,25,7748,664,93460,355455,458440,2742043,1343051,112,870,122936,744773,11,2870833,6332848,14076,80,111,12928,24,6434,219,2459,19059,49794,265151,1018431,2242,30379,53880,16836,300070,128708,100,235736,290692,10498,741249,369063,16143,13851,215514,2568,240423,491827,154619,506517,263121,367375,1833,43723,1,231,25012,570860,2610061,218319,16,607,76327,4369798,14878,1409108,41786,709694,44,97521,1410928,808,261341,427287,43,86,23605,40263,125588
Eastern Europe,923,19678250,283034,220506,7275,2883,3264,43,31,864,96,42,1195,575754,5,3479,21928,852971,38,76,1444,30,1120215,10903,19,212,11,47,304,7441,142,1755,94,6,36409,462,162,266,686,8238,63,0,9,114,306,9,480,78731,82,1,788,105,841,3,157,214,8328,3751,16,1919,102079,12206,211,2322,18,16,150,522,3236,47,104,49,72247,644,1,1,16,6154,43283,4,6,48,55,518857,278821,639,13,19116,15,40,1,2,72,398,182,67,31,17,65,42826,943,9125,742,6255,4764,11385,16,7965,49479,80,5058,2770,2813460,678,18,704,609732,207,123590,4335,16,68,1324,28,171296,531,179,55,2089,52,160,181,7,9,34,156,12,1318,5,90,28316,550,2,1960,195,739,159,11,446,9921,2,622,141,54,3166,0,49,4078,76,1795,2,156,12,99,876,1000,66289,2040,3,139,6758,512264,1,256256,4469724,79,7,9,4,1,5,12,54,18,895,272,35974,35,83,200,2,101178,1547,21,552,1448,383,25111,834,877,317,26,25,4867,5456,14668,491482,1838,6240,2,57,1,9,48,1771,23837,210885,5,585,218,3625705,911,60894,382,40101,11,338,1371131,12,521,84406,0,46,1344,586,279
Belarus,112,1085396,,,269,,,,,,,,,5762,,,,13571,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,3090,,,,,2011,,,,,,8558,,,,104,,,,,,,,,,,,327,,,,,,,,369,,,,,70362,,,,5263,,9989,,,,,,16562,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,455,,,,,7653,,,686316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,5712,,,,,,,,,,5497,,,,227042,,440,,,,,14874,,,350,,,,,
Bulgaria,100,84101,1317,434,314,1195,406,,1,6,41,5,124,1551,5,149,214,2270,4,9,663,4,663,432,2,34,1,31,23,113,30,96,92,1,,13,17,15,9,255,7,,2,,5,,22,906,,,25,,10,,5,5,89,272,,257,974,39,16,66,3,1,22,14,139,7,,3,63,56,,,2,58,592,,,12,11,306,2195,11,9,5196,3,,,,6,11,5,4,5,,2,355,162,159,26,278,701,11,,355,1141,6,122,172,1022,13,5,107,91,1,132,651,,5,207,3,113,9,2,,2,2,1,37,1,,3,1,,27,,4,62,29,,81,28,,3,2,5,314,0,23,31,1,78,,,101,2,43,,6,3,2,22,38,1261,105,,9,58,1994,,6371,19733,2,,,,,,6,4,,35,10,2430,,1,7,,305,38,,3,140,21,1646,10,0,18,1,3,128,172,1317,126,14,2558,,,1,2,,83,4170,278,3,16,5,6193,64,3206,15,1246,,18,720,1,28,658,0,0,49,12,31
Czech Republic,203,432776,,,527,308,657,,15,199,,5,99,2234,,511,2992,714,,15,120,1,4566,482,3,45,3,1,66,2230,74,353,,,7113,15,5,22,84,861,10,,,3,8,,96,5605,24,,177,2,51,,37,68,2481,316,,83,,15,125,279,5,1,30,79,558,14,3,3,94,109,,,2,233,2335,,,1,10,908,14191,133,,893,,5,,,21,75,17,6,1,,14,729,31,1200,166,369,442,550,,815,2668,5,1557,220,4432,50,4,19,607,21,198,304,1,13,184,5,450,13,30,19,396,2,30,17,1,,4,26,,316,,2,5707,118,,221,3,113,24,3,145,2502,,131,13,3,578,,,144,,502,1,27,2,31,179,316,18663,166,,28,1362,9082,,4636,32946,5,,5,2,,1,2,1,2,68,57,2051,2,18,28,,73437,278,1,31,261,39,651,102,137,33,1,2,574,521,578,146,692,1990,2,14,,3,5,623,1428,48,,3,20,127239,6,4456,19,6214,,16,1868,1,80,61744,,15,214,41,18
Hungary,348,472798,8402,1558,847,206,745,,,86,,,354,228,,1022,8794,165,8,16,74,4,252,1758,2,28,2,,63,420,6,550,,,2276,,,80,218,2264,,,,9,2,,172,12010,,,215,,88,,36,25,2539,664,,300,1733,,29,395,,,38,120,842,14,,11,138,143,,,,759,4160,,,5,12,228,33896,134,,1438,,5,,,19,45,10,4,,,12,,141,1202,234,2211,900,874,,1827,4153,31,1463,430,576,95,,190,143,49,153,374,6,37,347,8,157,149,36,,126,,23,39,,,4,56,,459,,5,1373,42,,204,23,10,9,,61,2934,,192,24,15,1272,,,1262,17,251,,28,2,22,237,271,4381,356,,37,1322,239,,232793,4886,18,,4,,,4,,,,351,26,26814,,32,90,,24025,448,,433,366,102,1304,57,114,84,,,1661,2407,1347,19,775,156,,10,,,15,206,2312,,,,35,31632,196,5829,63,7924,,74,126,,208,3735,,,296,19,42
